Source_Path,Destination_Path,Academic_Year,Term_or_Type,Doc_Nature,Subject,Level,Is_Scanned,OCR_Applied,Confidence_Score
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\19234.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\Unclassified\Year_Unknown_Term_Unknown_Arabe_1AM_19234.pdf,Year_Unknown,Term_Unknown,Sujet,Arabe,1AM,False,False,25
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\19241.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\2017\Devoirs\2017_Devoirs_Arabe_1AM_19241.pdf,2017,Devoirs,Sujet,Arabe,1AM,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\19237.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\Trimestre_2\Year_Unknown_Trimestre_2_1AM_19237.pdf,Year_Unknown,Trimestre_2,Sujet,Subject_Unknown,1AM,False,False,45
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\19239.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\2016-2017\Devoirs\2016-2017_Devoirs_Arabe_1AM_19239.pdf,2016-2017,Devoirs,Sujet,Arabe,1AM,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\19238.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\Needs_OCR\Year_Unknown_Term_Unknown_1AM_19238.pdf,Year_Unknown,Term_Unknown,Sujet,Subject_Unknown,1AM,True,False,10
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\19244.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\2016-2017\Devoirs\2016-2017_Devoirs_Arabe_1AM_19244.pdf,2016-2017,Devoirs,Sujet,Arabe,1AM,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\19213.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\Examen\Year_Unknown_Examen_1AM_19213.pdf,Year_Unknown,Examen,Sujet,Subject_Unknown,1AM,True,False,45
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\19245.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\Devoir_T3\Year_Unknown_Devoir_T3_Arabe_1AM_19245.pdf,Year_Unknown,Devoir_T3,Sujet,Arabe,1AM,False,False,60
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\19247.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\2022-2023\Devoirs\2022-2023_Devoirs_Arabe_1AM_19247.pdf,2022-2023,Devoirs,Sujet,Arabe,1AM,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\19242.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\Needs_OCR\Year_Unknown_Term_Unknown_1AM_19242.pdf,Year_Unknown,Term_Unknown,Sujet,Subject_Unknown,1AM,True,False,10
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\19248.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\Cours_Resumes\Cours_Resumes_Arabe_1AM_19248.pdf,Year_Unknown,Cours_Resumes,Sujet,Arabe,1AM,False,False,60
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\19250.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\Devoirs\Year_Unknown_Devoirs_Arabe_1AM_19250.pdf,Year_Unknown,Devoirs,Sujet,Arabe,1AM,False,False,60
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\19251.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\Cours_Resumes\2016-2017\Cours_Resumes_2016-2017_Arabe_1AM_19251.pdf,2016-2017,Cours_Resumes,Sujet,Arabe,1AM,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\19253.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\2016\Devoirs\2016_Devoirs_Arabe_1AM_19253.pdf,2016,Devoirs,Sujet,Arabe,1AM,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\19246.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\Needs_OCR\Year_Unknown_Term_Unknown_1AM_19246.pdf,Year_Unknown,Term_Unknown,Sujet,Subject_Unknown,1AM,True,False,10
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\19254.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\Needs_OCR\Year_Unknown_Term_Unknown_1AM_19254.pdf,Year_Unknown,Term_Unknown,Sujet,Subject_Unknown,1AM,True,False,10
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\19252.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\2017-2018\Devoir__3\2017-2018_Devoir_3_Arabe_1AM_19252.pdf,2017-2018,Devoir__3,Sujet,Arabe,1AM,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\19249.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\Needs_OCR\Year_Unknown_Term_Unknown_1AM_19249.pdf,Year_Unknown,Term_Unknown,Sujet,Subject_Unknown,1AM,True,False,10
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\19256.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\2016-2017\Devoirs\2016-2017_Devoirs_Arabe_1AM_19256.pdf,2016-2017,Devoirs,Sujet,Arabe,1AM,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\19255.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\2017\Devoirs\2017_Devoirs_Arabe_1AM_19255.pdf,2017,Devoirs,Sujet,Arabe,1AM,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\19258.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\2022-2023\Devoirs\2022-2023_Devoirs_Arabe_1AM_19258.pdf,2022-2023,Devoirs,Sujet,Arabe,1AM,False,False,100
